Superbowl,Year,Location,Winning Team,Winning Score,Losing Team,Losing Score
IV,1970,Tulane Stadium (New Orleans),Chiefs,23,Minnesota,7
V,1971,Orange Bowl (Miami),Ravens,16,Dallas,13
VI,1972,Tulane Stadium (New Orleans),Cowboys,24,Miami,3
VII,1973,Los Angeles Memorial Coliseum,Dolphins,14,Washington,7
VIII,1974,Rice Stadium (Houston),Dolphins,24,Minnesota,7
IX,1975,Tulane Stadium (New Orleans),Steelers,16,Minnesota,6
X,1976,Orange Bowl (Miami),Steelers,21,Dallas,17
XI,1977,"Rose Bowl (Pasadena, Calif.)",Raiders,32,Minnesota,14
XII,1978,Superdome (New Orleans),Cowboys,27,Denver,10
XIII,1979,Orange Bowl (Miami),Steelers,35,Dallas,31
XIV,1980,"Rose Bowl (Pasadena, Calif.)",Steelers,31,Los Angeles Rams,19
XV,1981,Superdome (New Orleans),Raiders,27,Philadelphia,10
XVI,1982,"Silverdome (Pontiac, Mich.)",49ers,26,Cincinnati,21
XVII,1983,"Rose Bowl (Pasadena, Calif.)",Commanders,27,Miami,17
XVIII,1984,Tampa (Fla.) Stadium,Raiders,38,Washington,9
XIX,1985,Stanford (Calif.) Stadium,49ers,38,Miami,16
XX,1986,Superdome (New Orleans),Bears,46,New England,10
XXI,1987,"Rose Bowl (Pasadena, Calif.)",Giants,39,Denver,20
XXII,1988,Jack Murphy Stadium (San Diego),Commanders,42,Denver,10
XXIII,1989,Joe Robbie Stadium (Miami),49ers,20,Cincinnati,16
XXIV,1990,Superdome (New Orleans),49ers,55,Denver,10
XXV,1991,Tampa (Fla.) Stadium,Giants,20,Buffalo,19
XXVI,1992,Metrodome (Minneapolis),Commanders,37,Buffalo,24
XXVII,1993,"Rose Bowl (Pasadena, Calif.)",Cowboys,52,Buffalo,17
XXVIII,1994,Georgia Dome (Atlanta),Cowboys,30,Buffalo,13
XXIX,1995,Joe Robbie Stadium (Miami),49ers,49,San Diego,26
XXX,1996,"Sun Devil Stadium (Tempe, Ariz.)",Cowboys,27,Pittsburgh,17
XXXI,1997,Superdome (New Orleans),Packers,35,New England,21
XXXII,1998,Qualcomm Stadium (San Diego),Broncos,31,Green Bay,24
XXXIII,1999,Pro Player Stadium (Miami),Broncos,34,Atlanta,19
XXXIV,2000,Georgia Dome (Atlanta),Rams,23,Tennessee,16
XXXV,2001,"Raymond James Stadium (Tampa, Fla.)",Ravens,34,New York Giants,7
XXXVI,2002,Superdome (New Orleans),Patriots,20,St. Louis,17
XXXVII,2003,Qualcomm Stadium (San Diego),Buccaneers,48,Oakland,21
XXXVIII,2004,Reliant Stadium (Houston),Patriots,32,Carolina,29
XXXIX,2005,"Alltel Stadium (Jacksonville, Fla.)",Patriots,24,Philadelphia,21
XL,2006,Ford Field (Detroit),Steelers,21,Seattle,10
XLI,2007,Dolphin Stadium (Miami),Colts,29,Chicago,17
XLII,2008,"University of Phoenix Stadium (Glendale, Ariz.)",Giants,17,New England,14
XLIII,2009,"Raymond James Stadium (Tampa, Fla.)",Steelers,27,Arizona,23
XLIV,2010,Sun Life Stadium (Miami),Saints,31,Indianapolis,17
XLV,2011,"Cowboys Stadium (Arlington, Texas)",Packers,31,Pittsburgh,25
XLVI,2012,Lucas Oil Stadium (Indianapolis),Giants,21,New England,17
XLVII,2013,Mercedes-Benz Superdome (New Orleans),Ravens,34,San Francisco,31
XLVIII,2014,"MetLife Stadium (East Rutherford, N.J.)",Seahawks,43,Denver,8
XLIX,2015,"University of Phoenix Stadium (Glendale, Ariz.)",Patriots,28,Seattle,24
50,2016,"Levi's Stadium (Santa Clara, Calif.)",Broncos,24,Carolina,10
LI,2017,NRG Stadium (Houston),Patriots,34,Atlanta,28
LII,2018,U.S. Bank Stadium (Minneapolis),Eagles,41,New England,33
LIII,2019,Mercedes-Benz Stadium (Atlanta),Patriots,13,Los Angeles Rams,3
LIV,2020,Hard Rock Stadium (Miami),Chiefs,31,San Francisco,20
LV,2021,"Raymond James Stadium (Tampa, Fla.)",Buccaneers,31,Kansas City,9
LVI,2022,"SoFi Stadium (Inglewood, Calif.)",Rams,23,Cincinnati,20
LVII,2023,"State Farm Stadium (Glendale, Ariz.)",Chiefs,38,Philadelphia,35
